case,roi,dice,gt_voxels,pred_voxels
BRATS_001,edema,0.013762595232243794,15712,564
BRATS_002,edema,0.0002384358607534573,15954,822
BRATS_003,edema,0.0004020908725371934,44039,727
BRATS_001,enhancing,0.004033071183706392,9354,564
BRATS_002,enhancing,0.0,2407,822
BRATS_003,enhancing,0.00028814291888776836,6214,727
BRATS_001,non_enhancing,0.0006945248292626461,8075,564
BRATS_002,non_enhancing,0.0,338,822
BRATS_003,non_enhancing,0.0019333011116481392,1342,727
