case,roi,dice,gt_voxels,pred_voxels
BRATS_001,edema,0.578168517834972,15712,14089
BRATS_002,edema,0.7705764569501528,15954,22002
BRATS_003,edema,0.47089870464236866,44039,18106
BRATS_001,enhancing,0.276584245372247,9354,20250
BRATS_002,enhancing,0.1959389603407634,2407,21774
BRATS_003,enhancing,0.20453590928181437,6214,8072
BRATS_001,non_enhancing,0.3548314268512944,8075,18501
BRATS_002,non_enhancing,0.029150713539853813,338,22646
BRATS_003,non_enhancing,0.041901373653523075,1342,8777
