case,roi,dice,gt_voxels,pred_voxels
BRATS_001,edema,0.01742138753320566,15712,475
BRATS_002,edema,0.00024176488365064975,15954,591
BRATS_003,edema,0.0002690824289173917,44039,557
BRATS_001,enhancing,0.005290466985451216,9354,475
BRATS_002,enhancing,0.0,2407,591
BRATS_003,enhancing,0.0002953773445576724,6214,557
BRATS_001,non_enhancing,0.0014035087719298245,8075,475
BRATS_002,non_enhancing,0.0,338,591
BRATS_003,non_enhancing,0.00421274354923644,1342,557
